"seq_name" "geno" "corv_abd" "corv_div" "corv_rich"
"371" "852_1015109" "KTMC-12-1" 18 1.1169259 5
"372" "852_1015112" "KTMC-12-2" 23.5 0.868169214 3.5
"373" "852_1015121" "LILA-26-2" 19 1.34797496 8
"374" "852_1015127" "LILA-26-5" 18 1.430369178 6
"375" "852_1015130" "LILB-26-1" 12 0.983087759 4
"376" "852_1015136" "LILC-26-1" 14 1.494403211 5
"377" "852_1015148" "LILD-26-3" 17 0.871781482 5
"378" "852_1015157" "MCMN-27-3" 16 1.420116437 5
"379" "852_1015166" "NHTA-27-4" 10 0.943348392 3
"380" "852_1015172" "NHTB-27-1" 10 0.78647083 2.5
"381" "852_1015175" "NHTB-27-4" 8 1.213007566 4
"382" "852_1015181" "SKWA-24-3" 14.5 1.175309426 5.5
"383" "852_1015184" "SKWA-24-4" 8 0.376770161 2
"384" "852_1015193" "SKWE-24-2" 10 0.940447989 4
"385" "852_1015199" "SKWE-24-5" 12 1.539654447 6
"386" "852_1015205" "SKWF-24-4" 11 1.033562054 4
"387" "852_1015217" "BESC-107" 5 1.33217904 4
"388" "852_1015220" "BESC-116" 16 1.123248712 4
"389" "852_1015232" "BESC-135" 10 1.088899975 4
"390" "852_1015238" "BESC-372" 20 0.746032665 3
"391" "852_1015244" "BESC-433" 43 0.110453047 2
"392" "852_1015253" "BESC-865" 21 0.775129275 4
"393" "852_1015259" "BESC-910" 11 0.585952618 2
"394" "852_1015271" "SQMA-25-2" 14 1.437701444 5
"395" "852_1015274" "SQMA-25-4" 8 1.213007566 4
"396" "852_1015280" "SQMB-25-3" 18 1.300592008 5
"397" "852_1015286" "VNDL-27-1" 5 0.500402424 2
"398" "852_1015289" "VNDL-27-5" 21 0.775129275 4
