"seq_name" "geno" "clats_abd" "clats_div" "clats_rich"
"460" "852_1010156" "GW-11046" 30 1.892378422 8
"461" "852_1010162" "GW-11049" 19 1.767377935 7
"462" "852_1010180" "CHWH-27-1" 9 1.464816385 5
"463" "852_1010183" "CHWH-27-2" 25 1.16716017 6
"464" "852_1010186" "CHWH-27-4" 17 1.087761293 5
"465" "852_1010189" "CHWJ-27-2" 6 0.867563228 3
"466" "852_1010192" "CHWK-27-2" 15 1.524633528 5
"467" "852_1010195" "CMBF-28-1" 15 0.857174044 4
"468" "852_1010201" "CNYH-28-2" 20 1.062737568 4
"469" "852_1010204" "CNYH-28-3" 18 1.597757792 5.5
"470" "852_1010207" "DENB-17-2" 31 1.84285087 7
"471" "852_1014932" "CMBF-28-4" 6 1.011404265 3
"472" "852_1014938" "DENA-17-1" 52 1.432051413 5
"473" "852_1014941" "DENA-17-4" 18 1.223575654 4
"474" "852_1014950" "DENC-17-1" 5 0.950270539 3
"475" "852_1014953" "DENC-17-3" 9 1.427061043 5
"476" "852_1014959" "DEND-17-2" 7 1.004242473 3
"477" "852_1014965" "FNYI-28-3" 16 1.580818536 6
"478" "852_1014971" "FNYI-28-5" 9 1.214889654 4
"479" "852_1014974" "GLCA-26-1" 17 1.140720196 4
"480" "852_1014977" "GLCB-26-3" 12 1.539654447 6
"481" "852_1014980" "HARA-26-1" 13 1.012330839 3
"482" "852_1015004" "HOMA-21-4" 18 1.615003455 6
"483" "852_1015007" "HOMB-21-2" 9 0.99502699 3
"484" "852_1015010" "HOMB-21-4" 35 0.567260894 3
"485" "852_1015025" "HOMC-21-5" 21 0.86605987 5
